#==================================
# IVS source Name Translation Table
#==================================
  # File format      : 26/04/2018
  # Date last revised: 27/04/2018
# Columns      Format             Content
#   1          A8                 IVS source name
#                                 Source name used now or in the past in IVS schedules and databases
#   2          A16                J2000 source name long
#                                 ICRF designations following therecommendations of the IAU Task Group on Designations
#   3          A8                 IERS designations source name constructed from B1950 coordinates

0248+560,J025154.6+561619,0248+560
0249+171,                ,0249+171
0252-712,J025246.1-710435,0252-712
0250-225,J025247.9-221925,0250-225
0249+383,J025308.8+383524,0249+383
0250-001,                ,0250-001
0250-122,                ,0250-122
0252-549,J025329.1-544151,0252-549
0250+320,J025333.6+321720,0250+320
0250+178,J025334.8+180542,0250+178
0250+508,J025357.6+510256,0250+508
0247+789,                ,0247+789
0251+235,J025424.7+234326,0251+235
0251+393,J025442.6+393134,0251+393
0252+636,                ,0252+636
0253-218,J025612.8-213729,0253-218
0253+133,J025634.9+133435,0253+133
0254-334,J025642.6-331521,0254-334
0252+657,J025701.3+655635,0252+657
0255-124,J025741.0-121201,0255-124
0254+185,J025745.6+184705,0254+185
0251+785,J025752.5+784347,0251+785
0254+434,J025759.0+433837,0254+434
0256-393,J025814.0-390940,0256-393
0256-256,J025816.7-252958,0256-256
0251+795,                ,0251+795
0257-510,                ,0257-510
0256+054,J025850.5+054108,0256+054
0255+288,                ,0255+288
0256+075,J025927.0+074739,0256+075
0256-005,J025928.5-001959,0256-005
0256+192,J025929.6+192544,0256+192
0256+423,J025937.6+423549,0256+423
0257-057,J030001.3-053120,0257-057
0253+789,                ,0253+789
0252+818,                ,0252+818
0258-184,J030106.7-181217,0258-184
0258-163,                ,0258-163
0259-316,J030116.2-312615,0259-316
0258-170,J030116.6-165245,0258-170
0258+011,J030123.6+011835,0258+011
0258+058,J030133.7+060227,0258+058
0301-721,                ,0301-721
NGC1167 ,                ,0258+350
0258+356,                ,0258+356
0255+785,                ,0255+785
0258+533,J030222.7+533146,0258+533
0259+121,J030230.5+121856,0259+121
0259+602,                ,0259+602
0301-243,J030326.5-240711,0301-243
0300+470,J030335.2+471616,0300+470
0302-623,J030350.6-621125,0302-623
0259+681,J030422.0+682137,0259+681
0302-437,                ,0302-437
0301+336,J030441.3+334843,0301+336
0258+772,                ,0258+772
0302+173,J030510.2+173459,0302+173
0303-245,                ,0303-245
0303+051,J030548.1+052331,0303+051
0259+793,                ,0259+793
0258+818,                ,0258+818
0302+625,J030642.6+624302,0302+625
0301+756,                ,0301+756
0304-122,                ,0304-122
0305-131,                ,0305-131
0305-491,                ,0305-491
0301+773,                ,0301+773
0305+237,                ,0305+237
NGC1218 ,J030826.2+040639,0305+039
0303+697,                ,0303+697
0307-362,J030902.5-360403,0307-362
0306+102,J030903.6+102916,0306+102
0306+274,                ,0306+274
0306-061,                ,0306-061
0308-611,J030956.0-605839,0308-611
0307-085,J031002.0-082339,0307-085
0307+380,J031049.8+381453,0307+380
0309+049,                ,0309+049
0312-770,J031155.2-765150,0312-770
0310-558,                ,0310-558
0310+013,J031243.6+013317,0310+013
0309+360,                ,0309+360
0309+525,                ,0309+525
0309+411,J031301.9+412001,0309+411
0310+022,J031313.4+022835,0310+022
0310+410,                ,0310+410
0312+100,J031521.1+101243,0312+100
0313-171,J031527.6-165629,0313-171
0315-282,J031733.6-280318,0315-282
0314+565,J031754.9+564357,0314+565
0316-444,J031757.6-441417,0316-444
0315-006,J031814.4-002948,0315-006
CTA21   ,J031857.8+162832,0316+162
0316-164,J031905.5-161347,0316-164
0314+696,J031922.0+694925,0314+696
0316+308,                ,0316+308
3C84    ,J031948.1+413042,0316+413
0317+188,J031951.2+190131,0317+188
0318-172,J032019.1-170239,0318-172
0318-388,J032046.4-383728,0318-388
0317+553,                ,0317+553
0319-315,J032128.7-312256,0319-315
0318+438,J032136.8+435922,0318+438
0319+121,J032153.1+122113,0319+121
0319-056,J032159.8-052612,0319-056
